Название,Столица,Коды ISO,Телефонный код,Валюта
Сен-Мартен,Мариго,MF,,Евро
Сен-Пьер и Микелон,Сен-Пьер,PM,,Евро
Сенегал,Дакар,SN,+221,Франк КФА ВСЕАО
Сент-Винсент и Гренадины,Кингстаун,VC,+1784,Восточно - карибский доллар
Сент-Китс и Невис,Бастер,KN,+1869,Восточно - карибский доллар
Сент-Люсия,Кастри,LC,+1758,Восточно - карибский доллар
Сербия,Белград,RS,+381,Сербский динар
Сингапур,Сингапур,SG,+65,Сингапурский доллар
Сирия,Дамаск,SY,+963,Сирийский фунт
Словакия,Братислава,SK,+421,Евро
Словения,Любляна,SI,+386,Евро
Соединенные Штаты Америки,Вашингтон,US,+1,Доллар США
Соломоновы острова,Хониара,SB,+677,Доллар Соломоновых Островов
Сомали,Могадишо,SO,+252,Сомалийский шиллинг
Сомалиленд,Харгейса,,+252,Сомалийский шиллинг
Судан,Хартум,SD,+249,Суданский фунт
Суринам,Парамарибо,SR,+597,Суринамский доллар
Сьерра-Леоне,Фритаун,SL,+232,Сьерра-Леонский леоне
Таджикистан,Душанбе,TJ,+992,Таджикских сомони
Таиланд,Бангкок,TH,+66,Таиландский бат
Тайвань,Тайбэй,TW,+886,Тайваньский доллар
Танзания,Додома,TZ,+255,Танзанийский шиллинг
Тёркс и Кайкос,Коберн-Таун,TC,+1649,Доллар США
Того,Ломе,TG,+228,Франк КФА ВСЕАО
Токелау,,TK,+690,Новозеландский доллар
Тонга,Нукуалофа,TO,+676,Паанга Королевства Тонга
Тринидад и Тобаго,Порт-оф-Спейн,TT,+1868,Доллар Тринидада и Тобаго
Тувалу,Фунафути,TV,+688,Австралийский доллар
Тунис,Тунис,TN,+216,Тунисский динар
Туркмения,Ашхабад,TM,+993,Туркменский манат
Турция,Анкара,TR,+90,Турецкая лира
Уганда,Кампала,UG,+256,Угандийский шиллинг
Узбекистан,Ташкент,UZ,+998,Узбекских сумов
Украина,Киев,UA,+380,Украинских гривен
Уоллис и Футуна,Мата-Уту,WF,,Тихоокеанский франк
Уругвай,Монтевидео,UY,+598,Уругвайское песо
Фареры,Торсхавн,FO,+298,Датская крона
Фиджи,Сува,FJ,+679,Доллар Фиджи
Филиппины,Манила,PH,+63,Филиппинское писо
Финляндия,Хельсинки,FI,+358,Евро
Фолклендские (Мальвинские) острова,Stanley,FK,+500,Фунт Фолклендских островов
Франция,Париж,FR,+33,Евро
Французская Гвиана,Кайенна,GF,+594,Евро
Французская Полинезия,Папеэте,PF,+689,Тихоокеанский франк
Французские Южные территории,,TF,,Евро
Херд и Макдональд,,HM,,Австралийский доллар
Хорватия,Загреб,HR,+385,Хорватская куна
ЦАР,Банги,CF,+236,Франк КФА ВЕАС
Чад,Нджамена,TD,+235,Франк КФА ВЕАС
Черногория,Подгорица,ME,+382,Евро
Чехия,Прага,CZ,+420,Чешская крона
Чили,Сантьяго,CL,+56,Чилийское песо
Швейцария,Берн,CH,+41,Швейцарский франк
Швеция,Стокгольм,SE,+46,Шведская крона
Шпицберген и Ян-Майен,Longyearbyen,SJ,,Норвежская крона
Шри-Ланка,Коломбо,LK,+94,Шри-Ланкийская рупия
Эквадор,Кито,EC,+593,Доллар США
Экваториальная Гвинея,Малабо,GQ,+240,Франк КФА ВЕАС
Эритрея,Асмарэ,ER,+291,Эритрейская накфа
Эстония,Таллин,EE,+372,Евро
Эфиопия,Аддис-Абеба,ET,+251,Эфиопский быр
ЮАР,Претория,ZA,+27,Южноафриканский рэнд
Южная Джорджия и Южные Сандвичевы острова,Грютвикен,GS,,
Южная Корея,Сеул,KR,+82,Южнокорейская вона
Южная Осетия,Цхинвал,,"+7 9971, +7 9976, +7 99744, +7 995344",Российский рубль
Ямайка,Кингстон,JM,+1876,Ямайский доллар
Япония,Токио,JP,+81,Японская иена
