Название,Столица,Коды ISO,Телефонный код,Валюта
Мадагаскар,Антананариву,MG,+261,Малагасийский ариари
Майотта,Мамудзу,YT,,Евро
Макао,Macao,MO,+853,Патака Макао
Македония,Скопье,MK,+389,Денар Республики Македония
Малави,Лилонгве,MW,+265,Малавийская квача
Малайзия,Куала-Лумпур,MY,+60,Малайзийский ринггит
Мали,Бамако,ML,+223,Франк КФА ВСЕАО
Малые Тихоокеанские отдаленные острова США,,UM,,Доллар США
Мальдивы,Мале,MV,+960,Мальдивская руфия
Мальта,Валлетта,MT,+356,Евро
Марокко,Рабат,MA,+212,Марокканский дирхам
Мартиника,,MQ,+596,Евро
Маршалловы острова,Маджуро,MH,+692,Доллар США
Мексика,Мехико,MX,+52,Мексиканское песо
Микронезия,Паликир,FM,+691,Доллар США
Мозамбик,Мапуту,MZ,+258,Мозамбикский метикал
Молдова,Кишинев,MD,+373,Молдавский лей
Монако,Монако,MC,+377,Евро
Монголия,Улан-Батор,MN,+976,Монгольский тугрик
Монтсеррат,Плимут,MS,+1664,Восточно - карибский доллар
Мьянма,Найпьидо,MM,+95,Мьянманский Кьят
Нагорный Карабах,Степанакерт,,"+37447, +37497",Армянский драм
Намибия,Виндхук,NA,+264,Доллар Намибии
Науру,,NR,+674,Австралийский доллар
Непал,Катманду,NP,+977,Непальская рупия
Нигер,Ниамей,NE,+227,Франк КФА ВСЕАО
Нигерия,Абуджа,NG,+234,Нигерийская найра
Нидерланды,Амстердам,NL,+31,Евро
Никарагуа,Манагуа,NI,+505,Никарагуанская золотая кордоба
Ниуэ,Алофи,NU,+683,Новозеландский доллар
Новая Зеландия,Веллингтон,NZ,+64,Новозеландский доллар
Новая Каледония,Нумеа,NC,+687,Тихоокеанский франк
Норвегия,Осло,NO,+47,Норвежская крона
Объединенные Арабские Эмираты,Абу-Даби,AE,+971,Дирхам ОАЭ
Оман,Маскат,OM,+968,Оманский риал
Остров Буве,,BV,,Норвежская крона
Остров Мэн,Дуглас,IM,,Британский фунт
Остров Норфолк,Кингстон,NF,+672,Австралийский доллар
Остров Рождества,Flying Fish Cove,CX,,Австралийский доллар
Острова Кука,Аваруа,CK,+682,Новозеландский доллар
Острова Питкэрн,Адамстаун,PN,,Новозеландский доллар
Пакистан,Исламабад,PK,+92,Пакистанская рупия
Палау,Мелекеок,PW,+680,Доллар США
Палестина,Рамалла,PS,+970,
Панама,Панама,PA,+507,Панамская Бальбоа
Папуа-Новая Гвинея,Порт-Морсби,PG,+675,Кина Папуа-Новой Гвинеи
Парагвай,Асунсьон,PY,+595,Парагвайский гуарани
Перу,Лима,PE,+51,Перуанский соль
Польша,Варшава,PL,+48,Польский злотый
Португалия,Лиссабон,PT,+351,Евро
Приднестровье,Тирасполь,,+373,
Пуэрто-Рико,Сан-Хуан,PR,+1787,Доллар США
Реюньон,Сен-Дени,RE,+262,Евро
Россия,Москва,RU,+7,Российский рубль
Руанда,Кигали,RW,+250,Франк Руанды
Румыния,Бухарест,RO,+40,Румынский лей
САДР,Эль-Аюн,,+213,
Сальвадор,Сан-Сальвадор,SV,+503,Сальвадорский колон
Самоа,Апиа,WS,+685,Самоанская Тала
Сан-Марино,Сан-Марино,SM,+378,Евро
Сан-Томе и Принсипи,Сан-Томе,ST,+239,Добра Сан-Томе и Принсипи
Саудовская Аравия,Эр-Рияд,SA,+966,Саудовский риял
Свазиленд,Мбабане,SZ,+268,Свазилендский лилангени
Святая Елена,Джеймстаун,SH,,Фунт Св. Елены
Северная Корея,Пхеньян,KP,+850,Северокорейская вона
Северные Марианские острова,Сайпан,MP,+1670,Доллар США
Северный Кипр,Никосия,,+90 392,Турецкая лира
Сейшелы,Виктория,SC,+248,Сейшельская рупия
Сен-Бартелеми,Густавия,BL,,Евро
